title,comments,category,views,likes,dislikes,channel,sentiment,engagement_rate
Ceazy Wife&Husband 😂😂 Tom&Jerry 😂 End Twist 😂 #shorts,473,24,13204161,235593,0,Asha unni,0.0,0.017878152197629216
Tom&Jerry 🥰sangeethkumar #shorts #tomandjerry,683,22,16189021,584672,0,Sangeeth Kumar,0.0,0.03615752922922269
Tom 🍓 Jerry (real end twist👌) #shorts #shorts,108,24,9849657,163723,0,SHOCK  FAMILY Vlog and Shorts,0.2,0.01663316803823727
Don’t try this trick with a Squid Game Soldier 😉 #squidgame,2425,24,94965580,1909591,0,Andrey Grechka,-0.4,0.020133778996558542
😂Trending…End twist🤣#love #shorts,350,22,5029996,195531,0,Sayoojmv'sTom & Jerry,0.0,0.03894257569986139
Lakai Sikai -  Brokers | ලකයි සිකයි - බ්‍රෝකර්ස්  🤝💰👨‍💼 | The Monthly Special 😍,1072,23,845125,32975,0,Lakai Sikai - ලකයි සිකයි,0.35714285714285715,0.040286348173347135
වැදි සින් එක පෙන්නපු අංජු,285,22,766341,20963,0,Chandana Palihawadana නිවේදක,0.0,0.027726560369339497
Scary Teacher 3D Mosquito Repellent Helps Squid Girl Sleeping 5 Times Challenge Nick win #shorts,86,20,28021165,440330,0,Scary Teacher Green,-0.19999999999999996,0.01571726229084337
REAL OR CAKE? (Part 9) #shorts,561,23,31122163,622348,0,PANDA BOI,0.2,0.02001496489816598
Hiru Star - Season 04 | GRAND FINALE 🏆🎉 | 2025-01-18,2349,10,1627091,37555,0,Hiru Star,0.5,0.024524749998617163
This is awesome 👏 (via @slingleygundogs/TT),1603,24,33312589,0,0,SportsNation,1.0,4.811994648629682e-05
Banana vs Sword on a Conveyor Belt,3704,22,47054775,1444759,0,Mini Katana,0.0,0.030782487005835222
❤️🇮🇳 Happy Republic day #shortvideo #shortsvideo @SonAndDadOfficial,130,24,2519011,63074,0,Son And Dad,0.8,0.025090799524098942
Always be a good person [KINDNESS MAN] #kindness #respect #goodman #happy #humanities,45,27,8810931,83357,0,KINDNESS MAN,0.75,0.009465742042469746
Insane SALT MAGIC Trick 🤯🧂 #shorts,631,24,11492680,224191,0,Wian,-0.25,0.019562190890201416
Tempt your senses with Fruity wine 🍷 #trending #shorts #catchysmells #perfumer #itmaaz #youtuber,680,22,26993079,876769,0,IT Maaz,0.0,0.03250644359615292
Hair Loss?😩😩 #sathishanitha #shorts #youtubeshorts #youtube #comedy #momlife #hairloss,266,24,16010242,272584,0,Sathish Anitha,0.0,0.01704221585157801
ටිකාක් වටේ ගියා... 😉🤣 #wateygihin #funkydirt,31,24,182700,10950,0,Funky Dirt,0.0,0.060103995621237
would you eat this? #shorts,1749,22,13795870,755285,0,Zach Choi ASMR,0.0,0.05487395865574263
A Child's Big Mistake Turned Into an Unforgettable Gift #shorts,7818,22,38581443,727830,0,Fabiosa Stories,0.4,0.019067405021631772
Budune Jesune - බුදුනේ ජේසුනේ | Chamod Kavishka | Hiru Star Season 04 | 𝐆𝐑𝐀𝐍𝐃 𝐅𝐈𝐍𝐀𝐋𝐄 🏆🎉,2446,10,993686,28351,0,Hiru Star,0.0,0.03099268783096471
Blind Boy Saved by Kind Girl ❤️,3769,24,31825294,1381049,0,Alan Chikin Chow,0.04999999999999999,0.04351312512619679
Don't miss the end ❤️ #vivekveena,43,24,3706430,59866,0,vivek_veena,0.0,0.01616353202407708
"Cool Items!🥰 New Gadgets, Smart Appliances, Kitchen Tools Utensils, Home Cleaning, Beauty #shorts",1066,26,66510014,919834,0,Cool Items Official,0.23354978354978354,0.01384603527522938
من هو الأسرع؟💧🤩| تحدي ممتع يمكنك تجربته مع الأصدقاء,81,26,11766422,133042,0,BRAVO! Arabic,0.0,0.01131380465531493
Final result😂😂 #comedy #realfools #surajroxfunnyvibe #vikramcomedyvideo #home,3448,22,55611721,1252635,0,Real fools shorts official,0.0,0.02258665938426901
ජනපති අනුර සමග සටන | Satana with Anura Kumara Dissanayake 21-01-2025,6094,25,1082890,41726,0,Newsfirst Sri Lanka,0.0,0.044159609932680144
100km/h Reflex Challenge 😱🚀,5019,17,151354108,4318483,0,Celine Dept,0.0,0.028565475077822138
When my son wants to eat KFC #shorts #trending,229,24,16229195,312920,0,BANKII,0.2,0.019295411756405662
ජනයි ප්‍රියයි - එක්වරක් | Janai Priyai - Ekwarak එක්වරක් නෙමෙයි කීප වරක් බලන්න වෙයි...,585,23,457847,14859,0,Janai Priyai,0.0,0.03373179249836736
#JasonDeruloTV // Truck 🙌 #GotPermissionToPost From IG @grodel.natalya #SlowLow,627,10,22440419,311703,0,Jason Derulo,0.0,0.013918189317231554
